DATE,CP0117PLM086NEST
2020-02-01,141.1
2020-03-01,140.4
2020-04-01,143.6
2020-05-01,140.9
2020-06-01,137.5
2020-07-01,123.6
2020-08-01,117.2
2020-09-01,117.1
2020-10-01,119.7
2020-11-01,124.6
2020-12-01,125.6
2021-01-01,132.5
2021-02-01,134.3
2021-03-01,136.4
2021-04-01,139.7
2021-05-01,138.9
2021-06-01,137.9
2021-07-01,132.7
2021-08-01,126.7
2021-09-01,129.0
2021-10-01,129.8
2021-11-01,134.5
2021-12-01,140.9
2022-01-01,147.2
2022-02-01,147.6
2022-03-01,150.4
2022-04-01,157.2
2022-05-01,151.9
2022-06-01,149.4
2022-07-01,141.2
2022-08-01,138.6
2022-09-01,140.5
2022-10-01,152.1
2022-11-01,155.3
2022-12-01,160.9
2023-01-01,168.1
2023-02-01,180.8
2023-03-01,194.1
2023-04-01,190.6
